                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2929,                0.47656,                0.80664,                 3.3167,             0.00023614,             0.00023614,             0.00023614
                      2,                 1.9559,                0.80859,                0.98242,                 2.8891,              0.0004272,              0.0004272,              0.0004272
                      3,                 1.0501,                0.90625,                0.99805,                 2.6863,             0.00057114,             0.00057114,             0.00057114
                      4,                0.69393,                0.95703,                      1,                 2.6177,             0.00050194,             0.00050194,             0.00050194
                      5,                0.54996,                0.96875,                      1,                 2.5971,             0.00050194,             0.00050194,             0.00050194
                      6,                0.47127,                 0.9707,                      1,                 2.5797,             0.00043126,             0.00043126,             0.00043126
                      7,                0.40395,                 0.9668,                      1,                 2.5739,             0.00036057,             0.00036057,             0.00036057
                      8,                0.38482,                0.97656,                      1,                 2.5629,             0.00028988,             0.00028988,             0.00028988
                      9,                0.37654,                0.98438,                      1,                 2.5567,              0.0002192,              0.0002192,              0.0002192
                     10,                0.35769,                0.98438,                      1,                 2.5496,             0.00014851,             0.00014851,             0.00014851
